index	epoch	batch	loss
0-0	0	0	2.7873315811157227
0-1	0	1	3.2960293292999268
0-2	0	2	2.9385602474212646
0-3	0	3	3.2090868949890137
0-4	0	4	3.4492292404174805
0-5	0	5	3.2851054668426514
0-6	0	6	3.1884777545928955
0-7	0	7	3.6503689289093018
0-8	0	8	3.11352801322937
0-9	0	9	3.0766921043395996
0-10	0	10	3.249182939529419
0-11	0	11	3.179866313934326
0-12	0	12	3.1757566928863525
0-13	0	13	2.806537628173828
0-14	0	14	3.395195722579956
0-15	0	15	3.0854575634002686
0-16	0	16	2.8428783416748047
0-17	0	17	2.784376859664917
0-18	0	18	3.10787034034729
0-19	0	19	2.7357254028320312
0-20	0	20	3.0416839122772217
0-21	0	21	3.144606113433838
0-22	0	22	2.644444227218628
0-23	0	23	2.9760959148406982
0-24	0	24	3.117311716079712
0-25	0	25	2.926447629928589
0-26	0	26	3.39339017868042
0-27	0	27	3.085935592651367
0-28	0	28	2.7939956188201904
0-29	0	29	3.3054773807525635
0-30	0	30	3.21468186378479
0-31	0	31	3.0159575939178467
0-32	0	32	3.219115972518921
0-33	0	33	3.013540744781494
0-34	0	34	2.794368267059326
0-35	0	35	3.1248135566711426
0-36	0	36	3.0215208530426025
0-37	0	37	2.821333169937134
0-38	0	38	2.9668354988098145
0-39	0	39	2.8857932090759277
0-40	0	40	3.1977014541625977
0-41	0	41	3.400644063949585
0-42	0	42	3.2954840660095215
0-43	0	43	3.243473529815674
0-44	0	44	3.2240254878997803
0-45	0	45	3.162842035293579
0-46	0	46	3.1601614952087402
0-47	0	47	2.7765800952911377
0-48	0	48	3.0111827850341797
0-49	0	49	2.8996047973632812
0-50	0	50	3.3409581184387207
0-51	0	51	3.3295071125030518
0-52	0	52	3.2891087532043457
0-53	0	53	2.6653380393981934
0-54	0	54	2.9664149284362793
0-55	0	55	3.2348990440368652
0-56	0	56	2.961989402770996
0-57	0	57	2.9538497924804688
0-58	0	58	3.287588357925415
0-59	0	59	3.105088710784912
0-60	0	60	2.888974189758301
0-61	0	61	2.9715065956115723
0-62	0	62	3.1260998249053955
0-63	0	63	2.719320297241211
0-64	0	64	2.8799591064453125
0-65	0	65	2.874711751937866
0-66	0	66	2.973531484603882
0-67	0	67	2.7982587814331055
0-68	0	68	3.1228151321411133
0-69	0	69	2.733336925506592
0-70	0	70	2.6783621311187744
0-71	0	71	3.0485072135925293
0-72	0	72	2.8340134620666504
0-73	0	73	2.8741259574890137
0-74	0	74	3.2928671836853027
0-75	0	75	3.092519998550415
0-76	0	76	2.949979305267334
0-77	0	77	2.8272523880004883
0-78	0	78	3.095503330230713
1-0	1	0	2.6915781497955322
1-1	1	1	3.1456923484802246
1-2	1	2	2.8451685905456543
1-3	1	3	3.093660593032837
1-4	1	4	3.298192262649536
1-5	1	5	3.1685848236083984
1-6	1	6	3.082663059234619
1-7	1	7	3.481696605682373
1-8	1	8	2.978421449661255
1-9	1	9	2.949786424636841
1-10	1	10	3.105428695678711
1-11	1	11	3.0668344497680664
1-12	1	12	3.0458765029907227
1-13	1	13	2.7041738033294678
1-14	1	14	3.244577169418335
1-15	1	15	2.973660707473755
1-16	1	16	2.748791217803955
1-17	1	17	2.6819519996643066
1-18	1	18	3.005843162536621
1-19	1	19	2.649395704269409
1-20	1	20	2.913963556289673
